Quantidade | Indice
8195       | 36968
6026       | 37523
5336       | 4878
4791       | 31673
4777       | 35203
4749       | 36670
4550       | 31102
4267       | 11954
4115       | 22039
3049       | 43242
2945       | 51499
2921       | 45292
2907       | 44953
2744       | 8444
2721       | 40840
2524       | 58520
2427       | 48597
2290       | 8039
2210       | 54687
2190       | 14037
2137       | 20832
2129       | 34247
2102       | 20877
2077       | 24552
1899       | 23675
1838       | 43350
1779       | 47719
1692       | 25464
1457       | 24513
1447       | 53252
1366       | 22769
1302       | 34654
1300       | 17977
1299       | 49485
1297       | 31815
1271       | 41314
1249       | 32220
1203       | 45483
1157       | 34172
1141       | 58256
1074       | 36010
1072       | 11844
1065       | 50301
1055       | 50256
1050       | 58538
1040       | 60554
1039       | 14247
994        | 16088
994        | 61168
993        | 20431
971        | 60752
960        | 10761
959        | 52366
946        | 59450
930        | 42954
923        | 22610
919        | 12894
918        | 40024
901        | 10918
892        | 16244
884        | 20590
884        | 38269
881        | 58721
880        | 44729
867        | 50750
864        | 27603
862        | 22408
858        | 23928
850        | 26557
846        | 15972
841        | 17095
841        | 45504
840        | 25066
839        | 30468
838        | 43308
837        | 23293
836        | 44546
821        | 16143
815        | 47649
814        | 55142
811        | 29028
803        | 49015
802        | 49524
797        | 59115
784        | 7250
783        | 40897
779        | 34333
774        | 7468
768        | 43237
751        | 45293
747        | 49798
743        | 27235
738        | 1412
737        | 20502
723        | 4247
716        | 47766
713        | 31793
708        | 2222
701        | 39835
700        | 14864
698        | 1613
694        | 45410
690        | 8786
688        | 60590
686        | 13608
680        | 24034
675        | 48368
671        | 16418
671        | 46774
655        | 42676
647        | 46285
645        | 55890
643        | 18091
639        | 36013
638        | 45148
637        | 46163
632        | 34203
630        | 53970
624        | 30678
619        | 53477
609        | 28968
609        | 38486
608        | 50044
607        | 34992
606        | 51321
605        | 20565
604        | 47785
599        | 52802
598        | 41046
592        | 479
588        | 54729
582        | 13398
580        | 20325
580        | 40566
573        | 53382
572        | 51769
568        | 42857
565        | 12398
565        | 56786
559        | 3203
555        | 25148
554        | 40634
554        | 57148
553        | 39209
544        | 50281
540        | 22768
540        | 49141
538        | 49581
535        | 46008
529        | 21332
529        | 28946
525        | 43788
525        | 51409
524        | 25607
522        | 15060
522        | 48791
521        | 20895
517        | 57982
514        | 60391
513        | 38746
512        | 4015
511        | 54960
510        | 17673
508        | 25282
507        | 7698
505        | 47383
504        | 21985
503        | 61208
502        | 45706
502        | 57277
499        | 51933
496        | 19867
492        | 53960
489        | 24941
486        | 43742
482        | 17562
476        | 50152
473        | 3787
473        | 61167
471        | 56306
470        | 41573
469        | 53963
468        | 34281
466        | 28901
465        | 10425
461        | 3123
460        | 54419
459        | 7045
459        | 35766
455        | 40252
454        | 10616
454        | 12663
454        | 50498
453        | 13687
450        | 39174
449        | 3648
445        | 23231
445        | 60864
436        | 26468
436        | 37626
433        | 61225
432        | 17378
430        | 35912
427        | 55833
425        | 37404
424        | 36991
422        | 48180
421        | 43582
