Linha 472 |claim_uid: 3oihkb |cord_uid: vlhbe3bt |title: Senior_medical_students_as_assistants_in_medicine_in_COVID-19_crisis:_a_realist_evaluation_protocol |doi: 10.1136/bmjopen-2020-045822 |numerical_claims: As_more_'lines_of_enquiry'_27_are_identified,_for_example,_through_interviews_with_key_stakeholders_who_have_been_involved_in_initiating_and_developing_the_Assistant_in_Medicine_programme,_these_will_be_followed_up_and_further_literature_searches_will_be_conducted_(dovetailing_onto_our_realist_synthesis). |publish_time: 06/09/2021 |authors: Monrouxe,_Lynn_V,_Hockey,_Peter,_Khanna,_Priya,_Klinner,_Christiane,_Mogensen,_Lise,_O'Mara,_D_A,_Roach,_Abbey,_Tobin,_Stephen,_Davids,_Jennifer_Ann |journal: BMJ_Open |country: Australia |institution: University_of_Sydney
Linha 473 |claim_uid: 3vpufy |cord_uid: vlhbe3bt |title: Senior_medical_students_as_assistants_in_medicine_in_COVID-19_crisis:_a_realist_evaluation_protocol |doi: 10.1136/bmjopen-2020-045822 |numerical_claims: Stakeholders_participating_in_the_Realist_Evaluation_will_comprise:_Programme_Developers_(n=15)_are_the_members_of_NSW_Health_who_originally_devised_the_initiative,_University_representatives_who_have_been_involved_in_recruiting_and_advising_on_the_implementation_of_the_initiative,_and_Local_Health_District_representatives_who_are_involved_in_developing_the_initiative_on_the_ground. |publish_time: 06/09/2021 |authors: Monrouxe,_Lynn_V,_Hockey,_Peter,_Khanna,_Priya,_Klinner,_Christiane,_Mogensen,_Lise,_O'Mara,_D_A,_Roach,_Abbey,_Tobin,_Stephen,_Davids,_Jennifer_Ann |journal: BMJ_Open |country: Australia |institution: University_of_Sydney
Linha 474 |claim_uid: 8nfpdw |cord_uid: vlhbe3bt |title: Senior_medical_students_as_assistants_in_medicine_in_COVID-19_crisis:_a_realist_evaluation_protocol |doi: 10.1136/bmjopen-2020-045822 |numerical_claims: We_will_use_a_longitudinal_mixed-methods_approach_to_conduct_the_research_over_a_period_of_7_months. |publish_time: 06/09/2021 |authors: Monrouxe,_Lynn_V,_Hockey,_Peter,_Khanna,_Priya,_Klinner,_Christiane,_Mogensen,_Lise,_O'Mara,_D_A,_Roach,_Abbey,_Tobin,_Stephen,_Davids,_Jennifer_Ann |journal: BMJ_Open |country: Australia |institution: University_of_Sydney
Linha 475 |claim_uid: 9ycibz |cord_uid: vlhbe3bt |title: Senior_medical_students_as_assistants_in_medicine_in_COVID-19_crisis:_a_realist_evaluation_protocol |doi: 10.1136/bmjopen-2020-045822 |numerical_claims: These_will_take_around_10_mins_per_week_and_comprise_short_narrative_reflections_on_participants'_ongoing_experiences_as_an_Assistant_in_Medicine_with_a_focus_on_preparedness_for_practice,_multi-disciplinary_team_working,_and_supervision. |publish_time: 06/09/2021 |authors: Monrouxe,_Lynn_V,_Hockey,_Peter,_Khanna,_Priya,_Klinner,_Christiane,_Mogensen,_Lise,_O'Mara,_D_A,_Roach,_Abbey,_Tobin,_Stephen,_Davids,_Jennifer_Ann |journal: BMJ_Open |country: Australia |institution: University_of_Sydney
Linha 438 |claim_uid: 9aubnv |cord_uid: ie875yi4 |title: Evaluation_of_six_commercial_SARS-CoV-2_serology_assays_detecting_different_antibodies_for_clinical_testing_and_serosurveillance |doi: 10.1093/ofid/ofab239 |numerical_claims: For_temperatures_lower_than_25°C,_the_time_can_be_extended. |publish_time: 10/05/2021 |authors: Nicholson,_Suellen,_Karapanagiotidis,_Theo,_Khvorov,_Arseniy,_Douros,_Celia,_Mordant,_Francesca,_Bond,_Katherine,_Druce,_Julian,_Williamson,_Deborah_A,_Purcell,_Damian,_Lewin,_Sharon_R,_Sullivan,_Sheena,_Subbarao,_Kanta,_Catton,_Mike |journal: Open_Forum_Infect_Dis |country: Australia |institution: The_Peter_Doherty_Institute_for_Infection_and_Immunity
Linha 439 |claim_uid: 4kmgpq |cord_uid: ie875yi4 |title: Evaluation_of_six_commercial_SARS-CoV-2_serology_assays_detecting_different_antibodies_for_clinical_testing_and_serosurveillance |doi: 10.1093/ofid/ofab239 |numerical_claims: Briefly,_the_ability_of_serial_2-fold_dilutions_of_sera_to_neutralize_the_infectivity_of_100_median_tissue_culture_infectious_doses_of_SARS-CoV-2_was_assessed_by_inhibition_of_viral_cytopathic_effect_in_Vero_cells. |publish_time: 10/05/2021 |authors: Nicholson,_Suellen,_Karapanagiotidis,_Theo,_Khvorov,_Arseniy,_Douros,_Celia,_Mordant,_Francesca,_Bond,_Katherine,_Druce,_Julian,_Williamson,_Deborah_A,_Purcell,_Damian,_Lewin,_Sharon_R,_Sullivan,_Sheena,_Subbarao,_Kanta,_Catton,_Mike |journal: Open_Forum_Infect_Dis |country: Australia |institution: The_Peter_Doherty_Institute_for_Infection_and_Immunity
Linha 440 |claim_uid: 5ihcty |cord_uid: ie875yi4 |title: Evaluation_of_six_commercial_SARS-CoV-2_serology_assays_detecting_different_antibodies_for_clinical_testing_and_serosurveillance |doi: 10.1093/ofid/ofab239 |numerical_claims: M_a_n_u_s_c_r_i_p_t_Limitations_of_our_study_include_the_use_of_two_different_RT-PCR_POS_sample_panels_however_there_was_sample_overlap_between_the_panels_with_all_of_Panel_B_included_within_Panel_A._Panel_B_also_included_more_convalescent_patient_samples_(69%)_collected_>_14_days_post_symptom_onset_compared_to_Panel_A_which_contained_49%. |publish_time: 10/05/2021 |authors: Nicholson,_Suellen,_Karapanagiotidis,_Theo,_Khvorov,_Arseniy,_Douros,_Celia,_Mordant,_Francesca,_Bond,_Katherine,_Druce,_Julian,_Williamson,_Deborah_A,_Purcell,_Damian,_Lewin,_Sharon_R,_Sullivan,_Sheena,_Subbarao,_Kanta,_Catton,_Mike |journal: Open_Forum_Infect_Dis |country: Australia |institution: The_Peter_Doherty_Institute_for_Infection_and_Immunity
Linha 654 |claim_uid: 7aioqe |cord_uid: grpycm8w |title: COVID-19_in_pregnancy:_What_we_know_from_the_first_year_of_the_pandemic |doi: 10.1016/j.bbadis.2021.166248 |numerical_claims: Pregnant_women_with_COVID-19_have_high_rates_of_sPTB,_with_studies_reporting_rates_of_21%_and_40%_sPTB_in_their_cohorts_which_is_2-4_times_higher_than_the_average_rate_of_10%. |publish_time: 28/08/2021 |authors: Arthurs,_Anya_Lara,_Jankovic-Karasoulos,_Tanja,_Roberts,_Claire_Trelford |journal: Biochim_Biophys_Acta_Mol_Basis_Dis |country: Australia |institution: Flinders_University
Linha 655 |claim_uid: 8oajpt |cord_uid: grpycm8w |title: COVID-19_in_pregnancy:_What_we_know_from_the_first_year_of_the_pandemic |doi: 10.1016/j.bbadis.2021.166248 |numerical_claims: With_nearly_178_million_cases_and_3.8_million_deaths_to_date,_we_can't_know_enough_about_this_pandemic. |publish_time: 28/08/2021 |authors: Arthurs,_Anya_Lara,_Jankovic-Karasoulos,_Tanja,_Roberts,_Claire_Trelford |journal: Biochim_Biophys_Acta_Mol_Basis_Dis |country: Australia |institution: Flinders_University
Linha 656 |claim_uid: 2fwgaj |cord_uid: grpycm8w |title: COVID-19_in_pregnancy:_What_we_know_from_the_first_year_of_the_pandemic |doi: 10.1016/j.bbadis.2021.166248 |numerical_claims: The_COVID-19_pandemic_has_infected_nearly_178_million_people_and_claimed_the_lives_of_over_3.8_million_in_less_than_15_months. |publish_time: 28/08/2021 |authors: Arthurs,_Anya_Lara,_Jankovic-Karasoulos,_Tanja,_Roberts,_Claire_Trelford |journal: Biochim_Biophys_Acta_Mol_Basis_Dis |country: Australia |institution: Flinders_University
Linha 379 |claim_uid: 9pbmqk |cord_uid: 3pkh17nx |title: Changes_in_infection-related_hospitalizations_in_children_following_pandemic_restrictions:_an_interrupted_time-series_analysis_of_total_population_data |doi: 10.1093/ije/dyab101 |numerical_claims: Stage_4_included_all_Stage_3_restrictions_as_well_as:_(a)_curfew_from_8_pm_to_5am,_(b)_limit_of_1_h_outside_exercise_per_day,_(c)_5_km_travel_limit,_(d)_one_person_can_leave_house_to_shop_per_day_(urinary_or_genital_tract,_including_sexually_transmitted_diseases)_(_see_Supplementary_data_at_IJE_online). |publish_time: 31/05/2021 |authors: Todd,_Isobel_M_F,_Miller,_Jessica_E,_Rowe,_Stacey_L,_Burgner,_David_P,_Sullivan,_Sheena_G |journal: Int_J_Epidemiol |country: Australia |institution: Victorian_Department_of_Health
